id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source
qE001,choice,静态拉伸法测弹性模量,光杠杆,2,光杠杆放大法中，微小伸长量ΔL与标尺位移Δx的关系为：,ΔL=b·Δx/D,ΔL=b·Δx/(2D),ΔL=2b·Δx/D,ΔL=D·Δx/b,B,,,放大倍数β=2D/b，故ΔL=b·Δx/(2D)。b为光杠杆前后足间距，D为镜面到标尺距离。,光杠杆;放大公式;ΔL=bΔx/(2D),拓展包PDF
qE002,choice,静态拉伸法测弹性模量,望远镜调焦,1,调节望远镜时，正确的调焦顺序是：,先调物镜看清标尺像，再调目镜看清十字叉丝,先调目镜看清十字叉丝，再调物镜看清标尺像,只调物镜即可,只调目镜即可,B,,,必须先调目镜使十字叉丝清晰（固定目镜焦距），再调物镜使标尺像清晰。顺序颠倒则叉丝和标尺无法同时清晰。,望远镜调焦;先目镜后物镜;操作顺序,拓展包PDF
qE003,choice,静态拉伸法测弹性模量,预拉力,2,拉伸法测杨氏模量实验中，给金属丝施加预拉力30.0N的主要目的：,保护金属丝不被拉断,消除金属丝的弯曲，使之伸直,使光杠杆处于最佳工作位置,减少直径测量误差,B,,,预拉力30N使金属丝从弯曲状态变直，确保后续加载过程中应力-应变关系从弹性区起点开始。保护金属丝在弹性范围内工作。,预拉力;30N;金属丝伸直,拓展包PDF
qE004,choice,静态拉伸法测弹性模量,十字叉丝,2,十字叉丝的横线应精确对齐标尺上的哪一读数？,0.0mm,10.0mm,20.0mm,30.0mm,C,,,对齐20.0mm作为测量起点，便于后续增减砝码时读取标尺变化量。这是实验步骤中的标准操作。,十字叉丝;标尺读数;20.0mm,拓展包PDF
qE005,choice,静态拉伸法测弹性模量,逐差法,3,对于逐差法处理杨氏模量数据，说法正确的是：,逐差法比最小二乘法更精确,逐差法仅适用于等间距加力且线性关系的数据,逐差法可以替代最小二乘法完成不确定度评定,逐差法不需要自变量等间距,B,,,逐差法要求自变量等间距和线性关系。但拉伸法实验中推荐使用最小二乘法，因为它使用全部数据点并能给出不确定度。,逐差法;等间距;最小二乘法对比,拓展包PDF
qE006,choice,静态拉伸法测弹性模量,螺旋测微计,1,螺旋测微计测量金属丝直径时，应如何测量？,在金属丝同一点反复测量6次,在金属丝上、中、下不同位置各测一次,在金属丝不同位置和不同方向测6次取平均,只需测量一次即可,C,,,金属丝粗细可能不均匀且截面可能非正圆，应在不同位置和不同方向多测，取6次平均值作为最佳估计值。,螺旋测微计;直径测量;多次测量,拓展包PDF
qE007,fill,静态拉伸法测弹性模量,杨氏模量,2,杨氏模量Y的计算公式中，直径d的幂指数为______，其灵敏系数的绝对值为______。,,,,,-2||2,1.0,填写数值,Y∝1/d²，lnY中-2lnd的系数为-2，传递时灵敏系数取绝对值2，贡献为(2ur(d))²，放大4倍。,杨氏模量;直径幂指数;-2,拓展包PDF
qE008,choice,静态拉伸法测弹性模量,放大倍数,2,提高金属丝微小伸长量测量精度的最佳方法是：,增加金属丝长度L,减小光杠杆臂长b,增大镜面到标尺距离D,增加拉力F,C,,,光杠杆放大倍数β=2D/b，增大D可提高放大倍数，从而降低ΔL的相对测量误差。,放大倍数;精度;D/b,拓展包PDF
qE009,fill,静态拉伸法测弹性模量,最小二乘法,2,拉伸法实验中，最小二乘法拟合的对象是______与______的线性关系。,,,,,拉力F||标尺读数x,1.0,填写数值,拟合x=kF+x₀，由斜率k=8LD/(πd²bY)反求杨氏模量Y。,最小二乘法;F-x拟合;杨氏模量,拓展包PDF
qE010,choice,静态拉伸法测弹性模量,不确定度,3,杨氏模量Y的不确定度评定中，通常哪个量的贡献最大？,金属丝长度L,镜尺距离D,最小二乘斜率k,光杠杆臂长b,C,,,由数据处理举例可知，ur(k)通常远大于其他分量的相对不确定度。这是因为k由拟合得到，受数据点数和线性度影响较大。增加测量组数可有效降低ur(k)。,不确定度;最大贡献;斜率k,拓展包PDF
