id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
qM001,choice,迈克尔孙干涉仪实验,干涉原理,2,迈克尔孙干涉仪中，两束相干光的光程差每改变______，干涉条纹就会移动一条。,λ/2,λ,2λ,λ/4,A,,,迈克尔孙干涉仪中，动镜每移动λ/2的距离，两束光的光程差就会改变λ，对应干涉条纹移动一条。,迈克尔孙干涉仪;光程差;条纹移动;λ/2,实验讲义PDF,,,,
qM002,choice,迈克尔孙干涉仪实验,仪器调节,1,调节迈克尔孙干涉仪时，首先要完成的操作是：,调节动镜位置,调节定镜的俯仰螺丝,调节激光束的入射方向,安装扩束镜,C,,,调节迈克尔孙干涉仪的第一步是调节激光束的入射方向，使激光束垂直入射到分束镜上，保证两束光的光路对称。,迈克尔孙干涉仪;仪器调节;激光入射方向,实验讲义PDF,,,,
qM003,fill,迈克尔孙干涉仪实验,波长测量,2,用迈克尔孙干涉仪测量激光波长时，若动镜移动距离为d，条纹移动数为N，则激光波长λ的计算公式为______。,,,,,λ=2d/N,1.0,填写公式,动镜每移动λ/2，条纹移动1条，因此d = N·(λ/2)，整理得λ=2d/N。,迈克尔孙干涉仪;波长测量;λ=2d/N,实验讲义PDF,,,,
qM004,choice,迈克尔孙干涉仪实验,干涉条纹,3,当迈克尔孙干涉仪的定镜和动镜严格垂直时，观察到的干涉条纹是：,等厚干涉直条纹,等倾干涉同心圆环,双曲线形条纹,椭圆形条纹,B,,,当定镜和动镜严格垂直时，两束相干光的光程差仅由入射光的倾角决定，形成等倾干涉的同心圆环条纹。,迈克尔孙干涉仪;等倾干涉;同心圆环,实验讲义PDF,,,,
qM005,fill,迈克尔孙干涉仪实验,仪器结构,1,迈克尔孙干涉仪的核心光学元件包括分束镜、______、定镜和动镜。,,,,,补偿镜,1.0,填写元件名称,补偿镜的作用是补偿两束相干光在玻璃介质中的光程差，保证两束光的光程差仅由空气路径决定。,迈克尔孙干涉仪;核心元件;补偿镜,实验讲义PDF,,,,
qG001,choice,光栅衍射实验,光栅方程,2,光栅衍射的主极大条件（光栅方程）为：,d·sinθ=kλ,d·cosθ=kλ,d·sinθ=(2k+1)λ/2,d·cosθ=(2k+1)λ/2,A,,,光栅衍射主极大的条件是相邻两缝的衍射光光程差为波长的整数倍，即d·sinθ=kλ，其中d为光栅常数，k为衍射级次。,光栅衍射;光栅方程;d·sinθ=kλ,实验讲义PDF,,,,
qG002,choice,光栅衍射实验,仪器调节,1,在光栅衍射实验中，调节分光计时，首先要调节的是：,平行光管,望远镜,载物台,光栅位置,B,,,分光计的调节顺序是先调节望远镜，使望远镜聚焦于无穷远，再调节平行光管，最后调节载物台和光栅。,光栅衍射;分光计调节;望远镜,实验讲义PDF,,,,
qG003,fill,光栅衍射实验,光栅常数,2,若光栅的刻线密度为N条/毫米，则光栅常数d的计算公式为______毫米。,,,,,d=1/N,1.0,填写公式,光栅常数是相邻两缝的间距，刻线密度为N条/毫米时，每毫米有N个缝，因此相邻缝间距d=1/N毫米。,光栅衍射;光栅常数;刻线密度,实验讲义PDF,,,,
qG004,choice,光栅衍射实验,衍射级次,3,用波长为589.3nm的钠黄光垂直入射到光栅常数为2μm的光栅上，能观察到的最高衍射级次为：,2级,3级,4级,5级,B,,,根据光栅方程d·sinθ=kλ，sinθ的最大值为1，因此k_max=d/λ=2e-6m/589.3e-9m≈3.39，取整数为3级。,光栅衍射;最高衍射级次;光栅方程,实验讲义PDF,,,,
qG005,fill,光栅衍射实验,缺级现象,2,光栅衍射中，当光栅常数d与缝宽a的比值为整数时，会发生______现象。,,,,,缺级,1.0,填写现象名称,当d/a为整数时，光栅衍射的主极大位置恰好与单缝衍射的极小位置重合，导致该级次的主极大消失，称为缺级现象。,光栅衍射;缺级现象;d/a比值,实验讲义PDF,,,,
