id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source
q001,choice,模块1-数据预处理与关联规则,数据预处理分类,1,数据预处理的四大类方法不包括以下哪一项？,数据清理,数据集成,数据加密,数据规约,C,0.0,,数据预处理四大类为：数据清理、数据集成、数据变换、数据规约。数据加密属于安全领域，不属于数据预处理范畴。,"数据预处理,四大类",模块1
q002,choice,模块1-数据预处理与关联规则,四分位极差IQR,1,四分位极差IQR的计算公式是？,$IQR = Q_2 - Q_1$,$IQR = Q_3 - Q_1$,$IQR = Q_3 - Q_2$,$IQR = Q_4 - Q_1$,B,0.0,,IQR（四分位极差）定义为第三四分位数减去第一四分位数，即 $IQR = Q_3 - Q_1$，用于衡量数据的离散程度。,"IQR,四分位极差",模块1
q003,choice,模块1-数据预处理与关联规则,离群点判定,2,使用IQR方法判定离群点时，正常数据范围的下界和上界分别是？,$Q_1-1.5 \times IQR$ 到 $Q_3+1.5 \times IQR$,$Q_1-1.0 \times IQR$ 到 $Q_3+1.0 \times IQR$,$Q_2-1.5 \times IQR$ 到 $Q_2+1.5 \times IQR$,$Q_1-2.0 \times IQR$ 到 $Q_3+2.0 \times IQR$,A,0.0,,IQR离群点判定标准：下界为 $Q_1-1.5 \times IQR$，上界为 $Q_3+1.5 \times IQR$，落在该范围之外的数据点被视为离群点。,"离群点,IQR,异常检测",模块1
q004,choice,模块1-数据预处理与关联规则,分箱法,1,以下哪一项不是分箱法的三种基本方式之一？,等宽分箱,等深分箱,等距分箱,等比分箱,D,0.0,,分箱法的三种基本方式为：等宽分箱（区间宽度相同）、等深分箱（每箱数据量相同）、等距分箱（区间间距相同）。等比分箱不属于基本分箱方式。,"分箱法,等宽,等深,等距",模块1
q005,choice,模块1-数据预处理与关联规则,关联规则支持度,1,关联规则中项集X的支持度s(X)的计算公式是？,$s(X) = \sigma(X) / N$,$s(X) = \sigma(X) / \sigma(Y)$,$s(X) = N / \sigma(X)$,$s(X) = \sigma(X \cup Y) / \sigma(X)$,A,0.0,,支持度 $s(X) = \sigma(X) / N$，其中 $\sigma(X)$ 是包含项集X的事务数，N是总事务数。选项D是置信度公式。,"支持度,关联规则",模块1
q006,choice,模块1-数据预处理与关联规则,关联规则置信度,1,关联规则 $X \rightarrow Y$ 的置信度c的计算公式是？,$c = \sigma(X) / \sigma(Y)$,$c = \sigma(X \cup Y) / \sigma(X)$,$c = \sigma(X \cup Y) / N$,$c = \sigma(Y) / \sigma(X \cup Y)$,B,0.0,,置信度 $c(X \rightarrow Y) = \sigma(X \cup Y) / \sigma(X)$，表示在X出现的条件下Y也出现的概率。选项C是支持度公式。,"置信度,关联规则",模块1
q007,choice,模块1-数据预处理与关联规则,提升度Lift,2,关于提升度Lift的描述，以下哪项是正确的？,Lift=1表示X和Y正相关,Lift=1表示X和Y相互独立,Lift>1表示X和Y负相关,Lift<1表示X和Y正相关,B,0.0,,提升度Lift=1表示X和Y相互独立（即X的出现不影响Y的出现概率）；Lift>1表示正相关；Lift<1表示负相关。,"提升度,Lift,独立,正相关",模块1
q008,choice,模块1-数据预处理与关联规则,关联分析步骤,1,关联规则挖掘的标准流程分为哪两步？,数据清洗→规则评估,发现频繁项集→提取强关联规则,特征选择→模型训练,离散化→聚类分析,B,0.0,,关联规则挖掘分为两步：第一步从数据中找出所有频繁项集（满足最小支持度），第二步从频繁项集中提取满足最小置信度的强关联规则。,"关联分析,频繁项集,强关联规则",模块1
q009,choice,模块1-数据预处理与关联规则,Apriori先验原理,3,Apriori算法的先验原理（Apriori Property）的核心内容是？,频繁项集的超集必然频繁,非频繁项集的超集必然非频繁,非频繁项集的子集可能频繁,频繁项集和非频繁项集没有包含关系,B,0.0,,先验原理：如果一个项集是非频繁的，那么它的所有超集也必然是非频繁的。该原理是Apriori算法剪枝的核心依据，可以大幅减少候选项集数量。,"Apriori,先验原理,剪枝,非频繁项集",模块1
q010,choice,模块1-数据预处理与关联规则,支持度+置信度误导,3,为什么仅靠支持度和置信度来筛选关联规则可能会产生误导？,因为支持度计算需要使用全量数据,因为置信度没有考虑后项Y的全局出现概率,因为支持度总是小于置信度,因为两种指标的计算方式完全相同,B,0.0,,置信度 $conf(X \rightarrow Y) = P(Y|X)$ 只衡量了条件概率，但如果Y本身在全局出现概率就很高（如牛奶），即使X与Y无关，置信度也可能很高。因此需要引入提升度Lift来对比后项全局概率。,"置信度,误导,全局概率,提升度",模块1
