id,type,experiment,knowledge,difficulty,question,option_a,option_b,option_c,option_d,answer,blank_count,fill_hint,explanation,keywords,source
q001,choice,绪论,有效数字,1,在乘除运算中，结果的有效数字位数应与参与运算中位数最少的那个数保持一致。,对,错,,,A,,,乘除运算有效数字位数对齐最少者。常数π/e参与运算时多取一位,有效数字;乘除运算;位数对齐,PDF自编
q002,choice,绪论,逐差法,2,逐差法只能处理线性关系的数据。,对,错,,,B,,,逐差法主要用于线性数据处理，但也可扩展到满足一定条件的一元多项式,逐差法;适用范围;线性数据,PDF自编
q003,choice,绪论,误差分析,1,系统误差的主要特点是?,随机产生不可重复,大小方向恒定可消除,由偶然因素引起,服从统计规律,B,,,系统误差具有确定的大小和方向，可通过对仪器校准(修正值)、完善测量理论、改进测量方法(如交换法)、改善实验环境等方式减小或消除。注意：多次测量不能减小系统误差，只能减小随机误差。,系统误差;减小或消除;修正;校准,自编
q004,choice,绪论,不确定度A类评定,1,关于A类不确定度的正确说法：,A. A类不确定度等于单次测量的实验标准差,B. A类不确定度就是贝塞尔公式计算的标准差,C. A类不确定度是平均值的实验标准差，等于单次测量标准差除以√n,D. A类不确定度按B类评定方法计算,C,,,A类是平均值的实验标准差 s(𝑥̄)=s/√n，分母是√n而非n或n-1,不确定度A类评定;实验标准差;平均值,PPTX适配
q005,choice,绪论,B类不确定度,1,用允差0.02mm的游标卡尺测量长度，按均匀分布，B类标准不确定度为：,A. 0.02mm,B. 0.01mm,C. 0.012mm,D. 0.006mm,C,,,仪器允差默认均匀分布，包含因子k=√3，u_B=a/√3=0.02/√3≈0.012mm,B类不确定度;均匀分布;包含因子,PPTX适配
q006,choice,绪论,有效数字,1,大学物理实验约定：不确定度有效数字一般保留几位？,A. 保留1位有效数字,B. 一般保留2位有效数字，末位后有非零数字时只进不舍,C. 四舍五入到2位,D. 和测量值修约规则完全相同,B,,,不确定度统一保留2位有效数字；末位后若有非零数则只进不舍。测量结果末位与不确定度末位对齐,有效数字;不确定度修约;只进不舍,PPTX适配
q007,choice,绪论,放大法,1,"以下哪个实验最典型地体现了""放大法""实验思想？",A. 声速测量,B. 杨氏模量实验（光杠杆放大法）,C. 直流电桥,D. 光栅衍射,B,,,光杠杆将微小伸长ΔL放大为标尺位移Δx，放大倍数β=2D/b，是最精巧的放大法应用,放大法;光杠杆;实验思想,PPTX适配
q008,choice,绪论,B类不确定度,1,用螺旋测微计对金属丝直径d测量，允差±0.004mm，均匀分布，则标准不确定度为：,A. 0.004/5 mm,B. 0.004/3 mm,C. 0.004/√3 mm,D. 0.004/√5 mm,C,,,均匀分布u_B=a/√3=0.004/√3 mm，真题改编,B类不确定度;均匀分布;u=a/√3,OCR修正
q009,choice,绪论,间接测量,2,已知Y=A·B²/C，则Y的相对不确定度合成公式正确的是：,A. u²r(Y)=u²r(A)+u²r(B)+u²r(C),B. u²r(Y)=u²r(A)+(2·ur(B))²+u²r(C),C. u²r(Y)=u²r(A)+2·u²r(B)+u²r(C),D. u(Y)/Y=u(A)/A+2·u(B)/B+u(C)/C,B,,,"取对数lnY=lnA+2lnB-lnC，幂指数p_A=1,p_B=2,p_C=-1，传递时平方求和",间接测量;不确定度传递;对数法;灵敏系数,PPTX适配
q010,choice,绪论,扩展不确定度,2,测量结果 L=12.34±0.16mm (k=2)，下列理解正确的是：,A. 合成标准不确定度uc=0.16mm,B. 0.16mm是扩展不确定度U，uc=U/k=0.08mm,C. 测量值应修约为12.3mm,D. 不确定度应只保留1位,B,,,k=2表示扩展不确定度，U=ku_c → u_c=U/2=0.08mm。测量值12.34末位与0.16末位对齐,扩展不确定度;包含因子;k=2;测量结果表达,PPTX适配
q011,choice,绪论,最小二乘法,2,最小二乘法拟合直线y=kx+b，斜率k的不确定度u(k)来源于：,A. 重复测量的A类评定直接转换,B. 仪器允差的B类评定,C. 拟合残差u(y)转化而来，u(k)=u(y)/√[Σ(x_i-𝑥̄)²],D. n组数据的标准差除以√n,C,,,u(k)来自拟合残差u(y)的转化，u(y)=√[Σ(y_i-kx_i-b)²/(n-2)]，然后除以√[Σ(x_i-𝑥̄)²],最小二乘法;斜率不确定度;拟合残差,PPTX适配
q012,choice,绪论,最小二乘法,2,下列哪个实验既用到最小二乘法又要求完整不确定度评定？,A. 分光计,B. 示波器,C. 迈克尔孙干涉实验,D. 光学全息实验,C,,,迈克尔孙干涉实验中d~Δk最小二乘拟合求λ，并完整评定波长的不确定度(含u(k)传递),最小二乘法;不确定度评定;迈克尔孙综合,PPTX适配
q013,choice,绪论,扩展不确定度,2,测量结果表示为 x=(87.65±0.16)cm (p=95%)，下列说法正确的是：,A. 合成标准不确定度 u_c=0.16cm,B. 0.16cm是扩展不确定度 U_95，u_c≈0.08cm,C. 测量值应修约为87.7cm,D. 不确定度只保留1位,B,,,U_95=k·u_c，正态分布k_95≈2，u_c=U/k=0.16/2≈0.08cm,扩展不确定度;包含因子;u_c=U/k,PDF自编
q014,choice,绪论,比较法,2,"以下哪个实验体现了""比较法""的实验思想？",A. 光杠杆测杨氏模量,B. 惠斯通电桥测电阻,C. 示波器测电压,D. 迈克尔孙干涉测波长,B,,,"电桥利用已知电阻R₀与未知电阻Rx比较达到平衡，""比较法""是基本实验方法之一",比较法;电桥;实验思想,PDF自编
q015,choice,绪论,实验方法,2,以下关于大学物理实验中实验方法-实验的对应，错误的是：,A. 放大法——光杠杆测杨氏模量,B. 比较法——惠斯通电桥测电阻,C. 交换法——直流电桥消除臂比误差,D. 模拟法——迈克尔孙干涉仪测波长,D,,,迈克尔孙干涉仪用干涉法而非模拟法。模拟法是一种实验思想，用于对不易直接测量的物理量进行间接模拟（如静电场描绘实验中的导电纸模拟）。放大法、比较法、交换法、模拟法、干涉法是大学物理实验的五种核心方法。,实验方法;放大法;比较法;交换法;模拟法;干涉法,PDF自编
q016,fill,绪论,A类不确定度,1,A类标准不确定度的计算公式为 u_A(𝑥̄) = s(x)/______。,,,,,√n|根号n|sqrt(n),1.0,,贝塞尔公式 s(x)=√[Σ(x_i-𝑥̄)²/(n-1)]，平均值标准差 s(𝑥̄)=s(x)/√n,A类不确定度;贝塞尔公式;√n,PDF自编
q017,fill,绪论,B类不确定度,1,B类不确定度评定中，仪器允差按均匀分布时包含因子k=______。,,,,,√3|根号3|sqrt(3),1.0,,均匀分布u_B=a/√3，三角分布u_B=a/√6，正态分布u_B=a/2(95%),B类不确定度;均匀分布;包含因子;√3,PDF自编
q018,fill,绪论,间接测量,1,间接测量Y=A·B²/C，lnY中B的灵敏系数p_B=______。,,,,,2|+2,1.0,,取对数lnY=lnA+2lnB-lnC，幂指数即为灵敏系数，传递时平方求和,间接测量;灵敏系数;对数法,PDF自编
q019,fill,绪论,有效数字,1,"有效数字修约规则称为""四舍六入五______""。",,,,,成双|成偶|凑偶,1.0,,四舍六入五成偶(凑偶)：舍去部分=5时看前一位奇偶，奇进偶不进,有效数字;修约规则;四舍六入五成双,PDF自编
q020,fill,绪论,异常值,1,异常值的常用剔除方法有两种：测量次数n≥10时用______准则（也称3σ准则），n较小时用______准则。,,,,,拉依达|3σ||格拉布斯|格拉布斯准则,1.0,,拉依达准则(3σ准则)适用于大样本(n≥10)；格拉布斯准则适用于小样本(n<10)。如果数据落在μ±3σ之外，则判定为异常值（粗大误差）。,异常值;拉依达准则;3σ准则;格拉布斯准则,PDF自编
q021,fill,绪论,测量基础,2,测量的三要素是测量对象、______和测量结果,,,,,测量单位|单位|计量单位,1.0,,测量三要素:对象、单位、结果,测量三要素,自编
q022,fill,绪论,合成不确定度,2,合成标准不确定度u_c=√(Σu²_i)成立的前提是各分量相互______。,,,,,独立|不相关,1.0,,方差可加性要求分量独立，若相关需加入协方差项,合成不确定度;独立分量;方差可加性,PDF自编
q023,fill,绪论,扩展不确定度,2,正态分布下扩展因子k_95≈______（保留两位小数）。,,,,,1.96,1.0,,正态分布包含概率95%对应k≈1.96；99%对应k≈2.576,扩展不确定度;包含因子;k_95;正态分布,PDF自编
